id	Exp1.10min.vs.BL.P1	Exp1.10min.vs.BL.P2	Exp1.10min.vs.BL.P3	Exp1.10min.vs.BL.P4	Exp2.1h.vs.BL.P1	Exp2.1h.vs.BL.P2	Exp2.1hr.vs.BL.P3	Exp2.1hr.vs.BL.P4	Exp3.4h.vs.BL.P1	Exp3.4h.vs.BL.P2	Exp3.4hr.vs.BL.P3	Exp3.4hr.vs.BL.P4
O94985-2	0.145	0.375	0.191	-0.029	0.042	0.347	0.043	0.005	-0.103	-0.061	-0.082	-0.093
Q04446	-0.103	0.06	0.022	0.033	0.163	0.073	-0.041	-0.013	0.783	0.101	-0.006	0.037
P04259	-1.126	-2.086	-0.08	-0.234	-0.848	-2.135	-0.266	0.522	-0.864	-1.326	-0.744	0.603
Q8IWV2	-0.043	0.031	0.005	-0.054	-0.012	-0.001	-0.063	-0.013	-0.129	-0.046	0.005	-0.004
Q13867	-0.067	0.042	0.076	0.243	-0.088	0.044	-0.081	0.071	-0.004	0.072	0.068	0.219
Q6IB91	-0.002	-0.007	-0.075	-0.288	0.912	0.008	-0.124	0.096	2.046	0.058	-0.115	-0.009
P12882	2.685	0.011	0.167	-0.019	0.505	-0.081	-0.435	-0.244	-0.016	-0.254	0.531	-0.021
Q9UKX2	2.683	0.005	0.15	-0.019	0.529	-0.102	-0.424	-0.19	-0.028	0.28	0.396	0.054
P04040	0.027	0.23	-0.092	0.202	0.394	0.489	0.118	0.242	0.705	0.283	0.232	0.212
Q5JPE7	-0.073	-0.016	-0.002	-0.042	-0.013	-0.012	-0.058	-0.003	-0.062	-0.055	0.001	-0.013
Q15155	-0.073	-0.015	-0.004	-0.052	-0.015	-0.01	-0.059	-0.006	-0.052	-0.056	-0.003	-0.017
P14780	0.069	0.046	-0.547	0.147	0.098	0.75	-0.373	0.108	0.28	0.754	0.247	0.177
P02671	-0.024	-0.584	-1.067	-1.172	0.062	-0.548	-0.392	-1.361	0.117	-0.577	-0.052	-1.518
O00468	0.153	-0.01	0.046	0.108	0.121	0.008	0.081	0.125	-0.114	0.082	0.067	0.116
P04075	-0.108	0.037	-0.051	0.067	0.276	0.248	0.155	0.127	0.675	0.445	0.609	0.386
Q8IWV2-3	-0.043	0.034	0.008	-0.046	-0.012	-0.001	-0.05	-0.013	-0.124	-0.046	0.005	-0.004
B4DUV1	-0.069	0.01	0.036	-0.058	-0.101	-0.003	0.131	-0.033	-0.102	0	-0.019	-0.027
P48740-2	-0.171	-0.035	0.068	-0.002	-0.151	-0.056	0.058	0.014	-0.245	-0.172	-0.061	-0.089
Q8N3T6	-0.041	-0.026	0.033	-0.081	-0.009	-0.06	-0.042	-0.128	-0.105	-0.07	0.025	-0.148
Q9HBR0	-0.048	-0.014	0.034	0.119	-0.114	-0.031	0.002	0.021	-0.101	-0.057	-0.004	-0.022
P13639	-0.017	0.045	-0.052	0.068	0.586	0.165	0.231	0.23	1.141	0.27	0.311	0.153
P11142	0.022	0.145	0.055	0.218	0.459	0.433	0.385	0.393	0.997	0.583	0.758	0.515
P36871	0.132	0.148	-0.034	0.09	0.757	0.44	0.749	0.317	1.483	0.767	1.34	0.831
P09493-6	0.258	0.181	0.276	0.546	0.634	0.444	0.551	0.887	1.235	0.95	0.568	0.767
P12109	-0.023	0.026	0.098	-0.052	0.024	0.017	0.153	-0.023	-0.004	-0.019	0.141	-0.031
O00462	-0.011	0.036	0.047	-0.039	0.012	0.071	-0.003	0.002	-0.099	0.024	0.008	-0.021
Q14515	-0.103	0.006	0.06	-0.104	0.063	0.076	0.028	-0.074	0.1	0.087	0.055	-0.081
Q2M3R7	-0.003	-0.007	0.004	-0.08	-0.066	0.001	-0.111	-0.024	-0.088	-0.047	-0.045	-0.042
B7Z507	0.075	0.044	-0.575	0.154	0.122	0.729	-0.407	0.114	0.319	0.741	0.236	0.179
B1AHL2	-0.072	0.021	0.036	-0.055	-0.099	-0.005	0.135	-0.045	-0.096	0.013	-0.017	-0.039
Q9Y623	2.687	0.091	0.291	-0.003	0.597	-0.08	-0.565	-0.19	-0.01	0.205	0.547	0.054
B3KXH0	-0.091	0.069	0.043	0.01	-0.056	0.036	0.029	0.021	-0.067	-0.046	0.03	0.024
A8K8Z4	0.93	-0.961	-0.22	-1.597	0.273	-0.585	-1.248	-1.042	0.778	-0.86	-1.394	-0.952
B2R853	-1.181	-2.093	-0.111	-0.305	-0.915	-2.169	-0.346	0.497	-0.936	-1.407	-0.744	0.565
P00740	-0.009	0.087	0.061	-0.021	-0.086	0.092	0.034	0.004	-0.111	0.016	-0.02	0.027
P35527	-0.787	0.082	0.005	-0.102	-0.045	0.61	-0.692	-0.458	0.396	0.175	-1.151	0.196
Q9NZK5	-0.089	0.014	0.054	-0.128	-0.094	0.037	0.034	-0.103	-0.18	-0.111	0.04	-0.098
P00352	0.045	0.1	-0.079	0.271	0.763	0.23	0.133	0.355	1.669	0.106	0.077	0.249
P52888	-0.053	0.07	-0.02	0.09	0.075	0.107	0.004	0.071	0.292	0.057	0.204	0.079
B4DJ98	-0.054	0.045	0.135	0.066	0.358	0.062	0.091	0.088	0.643	-0.015	0.118	0.083
Q06278	0.126	0.076	NA	NA	1.167	-0.015	NA	NA	1.513	0.383	NA	NA
P19827	0.484	-0.665	-0.218	-1.004	0.096	-0.588	-0.913	-0.393	0.484	-0.541	-1.164	-0.528
Q8N4S1	-0.089	0.006	0.06	-0.101	0.069	0.076	0.023	-0.076	0.113	0.09	0.053	-0.079
P48740	-0.152	-0.035	0.051	-0.054	-0.174	-0.048	0.034	-0.009	-0.255	-0.163	-0.082	-0.114
D3DNN4	-0.018	0.019	0.045	-0.01	-0.012	0.033	-0.007	-0.016	-0.14	-0.07	0.034	-0.028
Q96KN2	0.015	0.043	0.084	0.038	-0.055	0.022	0.033	0.103	-0.125	-0.008	0.017	0.036
P23142	-0.075	-0.051	0.028	-0.129	-0.119	-0.033	0.138	-0.158	-0.16	-0.026	-0.043	-0.116
P02545	0.146	0.082	0.092	0.033	0.348	0.333	0.22	0.135	0.79	0.321	0.475	0.087
P23378	-0.075	0.028	0.062	NA	0.632	-0.022	-0.01	NA	1.682	0.01	0.007	NA
Q9UKU6	0.038	0.034	0.06	0.069	0.046	0.045	-0.012	0.031	-0.154	-0.037	0.006	-0.003
Q8IUX7	1.468	1.312	1.385	0.676	0.816	1.454	0.796	0.401	-0.204	0.016	-0.077	-0.046
O43707	0.074	0.188	0.428	0.305	-0.164	-0.043	0.132	0.657	-0.004	-0.16	-0.808	0.406
A8K6D3	-0.005	0.037	0.048	-0.039	0.023	0.07	-0.002	0.002	-0.099	0.027	0.005	-0.021
O75083	-0.079	0.125	0.328	0.448	0.184	0.228	0.225	0.649	0.406	0.262	0.081	0.453
P23141-2	0.036	0.026	-0.005	0.063	1.282	0.075	0.053	0.097	2.307	0.084	0.173	0.053
P22314	-0.005	0.132	0.026	0.277	0.304	0.285	0.105	0.379	0.464	0.08	-0.021	0.176
B4DWU6	-1.157	-2.101	-0.111	-0.238	-0.915	-2.206	-0.358	0.497	-0.953	-1.475	-0.656	0.641
Q86SF2	-0.045	0.032	0.022	-0.04	-0.088	0.039	0.014	0	-0.028	-0.055	0.061	-0.08
P00742	0.034	-0.025	0.056	-0.015	-0.058	-0.018	0.019	0.004	-0.118	-0.061	0.011	-0.027
Q9NQ79	-0.218	-0.132	-0.015	-0.005	-0.52	-0.203	-0.05	-0.086	-0.502	-0.173	-0.33	-0.185
Q96PD5	-0.024	0.014	0.026	-0.023	-0.09	-0.015	0.092	-0.051	-0.132	0.009	-0.004	0.039
P08238	-0.07	-0.002	0.094	0.129	0.264	0.085	0.073	0.212	0.75	0.164	0.024	0.112
Q9NY33	0.011	0.121	-0.038	0.136	0.223	0.269	-0.023	0.092	0.438	0.204	0.186	0.141
B2RAS2	-0.074	0.009	0.063	-0.135	-0.094	0.026	0.051	-0.102	-0.178	-0.107	0.065	-0.099
P48147	0.04	0.147	0.073	0.185	0.491	0.344	0.532	0.205	0.556	0.248	0.561	0.22
B7Z5K2	-0.022	-0.071	0.011	-0.086	-0.017	-0.051	-0.09	-0.129	-0.064	-0.104	0.022	-0.104
P32754	-0.036	-0.001	0.004	-0.07	0.317	0.01	-0.023	-0.023	0.964	0.012	-0.006	-0.058
A2A274	0.137	-0.001	-0.126	0.069	0.972	0.349	0.501	0.179	1.725	1.547	1.591	0.573
P01833	-0.015	0.039	0.004	-0.106	0.024	0.025	-0.032	-0.075	-0.002	0.011	0.071	-0.048
P15086	-0.113	0.026	-0.122	-0.135	-0.043	-0.053	-0.15	-0.232	2.501	0.278	-0.236	-0.209
O75339	-0.023	-0.056	-0.02	-0.194	-0.206	-0.04	-0.097	-0.252	-0.244	-0.094	-0.141	-0.141
P27487	-0.059	-0.153	-0.066	-0.278	0.02	-0.137	-0.342	-0.279	-0.065	-0.137	-0.174	-0.23
P23467	0	-0.007	0.015	-0.112	-0.014	0.015	-0.036	-0.091	-0.083	-0.04	-0.001	-0.014
O95428	-0.188	-0.023	0.017	-0.041	-0.157	-0.07	0.024	-0.08	-0.214	-0.024	-0.176	-0.056
P50395	-0.044	0.156	-0.009	0.164	0.208	0.389	-0.022	0.258	0.614	0.204	0.138	0.245
P54802	-0.137	-0.012	0.041	-0.04	-0.119	-0.031	0.006	-0.047	-0.231	-0.064	-0.002	-0.068
P00338	-0.052	0.103	0.086	0.168	0.275	0.173	0.127	0.17	0.7	0.237	0.321	0.243
B4DLV7	-0.044	0.15	-0.01	0.158	0.208	0.381	-0.022	0.258	0.614	0.203	0.137	0.241
P67936	-0.004	0.17	0.452	0.803	0.081	0.132	0.378	1.055	0.319	0.123	-0.174	0.589
P48637	-0.027	0.013	0.025	-0.012	0.075	0.033	-0.035	-0.043	0.156	0.029	0.097	0.109
P08107	0.038	0.103	0.01	0.219	0.586	0.323	0.434	0.328	1.076	0.558	0.76	0.535
Q9UM47	0.039	0.007	-0.027	-0.047	0.016	0.007	0.006	-0.045	-0.026	-0.045	0.029	-0.031
Q5FBE1	-0.006	0.086	0.061	-0.022	-0.085	0.093	0.035	0.003	-0.113	0.016	-0.018	0.025
Q9UGM5	-0.079	0.035	0.072	-0.038	-0.159	-0.008	0.066	0.021	-0.154	-0.098	-0.046	-0.028
P04745	-0.011	-0.015	0.041	-0.006	-0.008	0.007	-0.018	-0.02	1.576	0.002	-0.067	-0.072
P04746	-0.023	-0.013	0.049	0.005	0.002	-0.006	-0.019	-0.024	1.868	0.047	-0.009	-0.033
P36871-2	0.16	0.131	-0.031	0.082	0.767	0.455	0.753	0.312	1.54	0.779	1.347	0.842
C9JG26	-0.015	-0.011	0.038	0.004	0.014	0.003	-0.023	-0.023	1.867	0.046	-0.018	-0.038
P01871	-0.004	-0.239	-0.239	-0.217	-0.114	-0.218	-0.177	-0.217	-0.058	-0.105	-0.005	-0.067
Q14766	0.317	0.075	0.244	0.071	0.223	0.138	-0.025	0.114	0.188	-0.059	0.393	-0.203
P80404	0.014	0.075	-0.107	-0.176	0.943	0.073	-0.044	-0.209	1.887	0.215	0.116	-0.212
Q16610-4	-0.045	-0.093	0.087	-0.036	-0.097	-0.115	0.089	-0.024	-0.166	-0.112	0.038	0.036
B7Z766	-0.088	0.081	0.039	0.033	-0.056	0.056	0.021	0.018	-0.065	-0.046	0.054	0.002
P06744	0.293	0.194	-0.057	0.435	1.368	0.583	0.802	0.561	1.526	0.986	1.594	1.095
P02790	1.036	-0.834	-0.347	-1.738	0.367	-0.521	-1.265	-0.974	0.794	-0.714	-1.395	-1.106
P01019	-0.019	0.003	0.068	0.047	-0.084	0.009	0.033	-0.027	-0.134	0.051	0.059	0.013
Q8IXL6	-0.072	-0.004	0.018	-0.07	-0.087	0.025	0.007	-0.06	-0.153	-0.022	0.009	-0.016
P07358	0.203	-0.349	-0.041	-0.364	-0.012	-0.237	-0.234	-0.215	0.098	-0.323	-0.452	-0.189
Q53YY1	0.016	0.041	0.035	-0.003	-0.07	0.02	0.011	-0.037	-0.135	0.044	0.02	0.027
Q8WZA1	0.002	-0.03	-0.001	-0.012	-0.064	0.011	-0.054	-0.015	-0.063	-0.051	-0.013	-0.037
P01042	0.515	-0.635	-0.54	-0.803	0.125	-0.509	-0.893	-0.652	0.259	-0.588	-0.809	-0.993
Q96PD5-2	-0.023	0.019	0.028	-0.017	-0.087	-0.013	0.092	-0.044	-0.131	0.007	-0.005	0.042
Q9Y6N7-2	-0.049	0.017	0.035	0.004	-0.074	-0.01	-0.004	0.001	-0.091	-0.031	-0.006	-0.005
Q04756	-0.088	0.008	0.034	0.017	-0.088	0.036	0.047	-0.01	-0.178	-0.033	0.035	-0.004
P19961	-0.007	-0.011	0.036	0.003	-0.003	0.003	-0.05	-0.027	1.776	0.043	-0.063	-0.072
P04278	-0.111	0.004	0.004	-0.037	-0.164	-0.01	0.009	-0.046	-0.237	-0.046	-0.018	-0.044
Q9UIW2	-0.091	-0.013	0.045	0.027	-0.008	0.001	-0.02	-0.049	-0.141	-0.083	-0.018	-0.077
B5A932	-0.024	0.018	0.04	-0.073	-0.09	0.039	0.011	-0.08	-0.063	0.024	0.054	-0.014
Q14767	-0.005	0.113	0.082	-0.029	0.023	0.101	0.165	0.046	0.013	0.109	0.136	-0.074
B4DLY4	0.118	0.015	-0.13	0.134	0.963	0.427	0.431	0.194	1.698	1.827	1.587	0.636
P00966	0.018	0.19	-0.12	0.444	1.182	-0.43	-0.491	0.436	1.917	-0.175	-0.44	0.197
P16233	-0.015	-0.136	0.078	-0.158	0.018	-0.071	0.097	-0.279	2.373	0.352	-0.099	-0.095
B3KQ84	-0.007	-0.098	-0.248	-1.841	0.656	-0.042	-0.194	-2.161	1.684	-0.096	-0.129	0.136
Q9UI17	-0.007	-0.098	-0.248	-1.841	0.66	-0.042	-0.194	-2.161	1.739	-0.096	-0.129	0.136
B7Z539	0.514	-0.666	-0.223	-1.081	0.103	-0.599	-0.985	-0.399	0.503	-0.563	-1.297	-0.552
P08779	-1.122	-1.774	-0.086	-0.125	-0.98	-1.796	-0.197	0.929	-0.727	-1.132	-0.304	0.409
P12955	-0.002	0.085	0.017	0.045	0.058	0.046	0.029	0.013	-0.081	-0.034	-0.003	0.014
B4DKV4	-1.039	-2.093	-0.127	-0.331	-0.939	-2.169	-0.191	0.547	-0.97	-1.326	-0.588	0.565
B2R5S1	-0.024	0.002	0.073	0.042	-0.088	0.011	0.036	-0.015	-0.139	0.05	0.068	0.008
Q9HCB6	0.205	0.436	0.195	-0.007	0.008	0.371	0.006	-0.028	-0.15	-0.058	-0.098	-0.044
O75326	0.037	0.064	0.041	0.018	0.072	0.011	-0.014	0.066	-0.009	-0.055	0.119	0.012
P09972	0.046	0.004	-0.078	-0.024	0.33	0.162	0.013	0.002	0.765	0.407	0.549	0.352
B4E1B3	0.017	0.042	0.068	0.047	-0.074	0.02	0.039	-0.027	-0.136	0.046	0.054	0.014
Q10471	-0.072	0.028	0.034	0.021	-0.066	0.03	0.012	0.058	-0.03	-0.004	-0.01	0.004
Q13740	-0.04	0.011	0.099	-0.025	0.013	0.025	-0.01	-0.015	-0.05	-0.066	0.058	-0.01
P04003	0.561	-0.968	-0.445	-1.521	0.231	-0.917	-1.15	-0.909	0.738	-0.934	-1.132	-0.927
P35590	-0.093	0.018	0.028	-0.046	-0.064	-0.011	0.036	-0.024	-0.111	-0.041	0.001	0.035
P09172	-0.076	-0.016	0.036	0.007	-0.031	0.008	0.009	-0.036	-0.12	-0.015	0.032	-0.021
P48506	0.017	0.156	-0.133	0.062	0.259	0.461	-0.012	0.144	0.485	0.282	0.156	0.133
P05062	-0.053	0.012	-0.015	-0.011	0.247	0.055	-0.013	0.029	1.111	0.011	-0.092	-0.033
B4DLX4	0.014	0.105	-0.049	0.113	0.223	0.263	-0.029	0.086	0.431	0.158	0.17	0.14
P17174	-0.004	0.11	-0.152	0.036	0.773	0.54	0.663	0.172	1.577	1.057	1.658	0.825
P06753-2	0.267	0.232	0.384	0.824	0.299	0.282	0.417	1.072	0.415	0.152	-0.035	0.605
O43895	-0.029	-0.001	0.042	-0.011	-0.02	-0.036	-0.038	-0.065	-0.025	-0.083	0.04	0.028
P06753	0.781	0.229	0.289	0.87	0.406	0.307	0.334	1.063	0.599	0.288	0.16	0.67
Q16787	0.01	-0.005	0.062	0.049	0.071	-0.02	0.003	-0.082	0.005	-0.055	-0.023	-0.055
Q9UQP3	-0.092	-0.073	-0.007	-0.036	-0.076	-0.049	-0.024	-0.057	-0.065	-0.122	0.015	-0.054
P52209	-0.002	0.159	-0.015	0.196	0.266	0.378	0.075	0.376	0.608	0.45	0.13	0.354
B4DR87	-0.064	-0.048	-0.003	-0.097	-0.069	-0.047	-0.035	-0.154	-0.079	0.004	-0.074	-0.158
P01011	0.898	-0.733	-0.348	-1.771	0.35	-0.516	-1.194	-0.82	0.874	-0.646	-1.423	-0.902
Q9Y4D7	-0.037	-0.018	0.043	0.062	-0.057	-0.023	-0.007	-0.023	-0.138	-0.025	0.092	0.047
P02533	-1.083	-1.847	-0.045	-0.105	-0.915	-1.796	-0.291	0.648	-0.57	-1.119	-0.471	0.631
P10909-2	0.018	-0.004	-0.015	-0.12	-0.061	0.04	0.168	-0.02	0.004	0.142	0.088	0.086
P00390	-0.065	0.015	0.041	-0.049	0.126	0.067	-0.043	0.024	0.177	0.034	0.098	0.041
P05543	-0.005	0.048	0.041	-0.038	-0.056	-0.041	0.004	-0.053	-0.12	-0.058	0.069	-0.027
Q04721	0.024	-0.001	-0.025	0.048	0.042	-0.004	-0.013	0.031	-0.003	-0.063	-0.082	-0.056
P02750	-0.088	0.037	0.021	0.027	-0.072	-0.022	-0.002	-0.034	-0.198	-0.083	0.038	0.056
B7ZM33	-0.019	0.017	0.026	-0.015	-0.09	-0.014	0.089	-0.043	-0.129	0.007	-0.004	0.042
P06733	0.042	0.064	0.102	0.263	0.252	0.218	0.273	0.331	0.666	0.196	0.241	0.265
Q8WUM4	-0.043	0.108	-0.073	0.238	0.098	0.257	0.021	0.303	0.271	0.264	0.029	0.236
P06865	0.008	0.103	0.123	0.056	0.074	0.124	0.086	0.061	-0.039	0.117	0.072	-0.016
P07686	-0.017	0.065	0.046	-0.035	0.056	0.119	0.056	0.014	-0.071	0.005	0.037	0.009
P08195-4	-0.086	0.027	0.013	0.003	-0.043	-0.012	-0.044	-0.011	-0.225	-0.046	-0.03	-0.005
P67936-2	0.002	0.19	0.451	0.827	0.182	0.204	0.424	1.055	0.4	0.158	-0.044	0.552
Q2TU84	-0.008	0.105	-0.144	0.036	0.775	0.536	0.662	0.166	1.578	1.044	1.657	0.812
B4E1H9	0.147	0.252	0.004	0.303	0.816	0.611	0.602	0.449	0.911	0.415	0.844	0.523
P04424	-0.018	-0.009	-0.007	0.001	0.103	-0.052	-0.007	0.002	0.679	0.008	-0.03	0.003
D3DSM1	0.083	0.03	-0.029	0.021	0.035	0.052	0.008	-0.009	0.011	-0.035	0.016	-0.046
B5A931	-0.024	0.026	0.034	-0.073	-0.09	0.038	0.011	-0.078	-0.063	0.024	0.07	-0.005
Q14766-3	0.314	0.08	0.248	0.071	0.247	0.129	-0.033	0.123	0.197	-0.052	0.393	-0.203
Q86TT1	-0.046	-0.23	-0.253	-0.207	-0.127	-0.202	-0.173	-0.221	-0.09	-0.084	-0.005	-0.058
P10645	-0.12	-0.026	0.004	-0.095	-0.303	-0.033	-0.072	-0.015	-0.147	-0.016	-0.036	0.031
P11055	2.721	0.091	0.134	-0.082	0.558	0.117	-0.472	-0.27	0.021	0.171	0.551	-0.131
B3KXB6	-0.093	-0.054	-0.007	-0.028	-0.069	-0.043	-0.025	-0.053	-0.07	-0.104	0.02	-0.043
P03952	0.06	-0.801	-0.439	-1.018	-0.158	-0.667	-1.041	-0.559	-0.113	-0.766	-0.976	-0.729
Q16394	-0.068	0.058	0.038	-0.024	-0.061	0.042	0.036	-0.032	-0.105	-0.04	-0.102	0.022
B1B0D4	0.037	-0.01	0.044	0.012	-0.036	-0.022	0.048	0.086	-0.032	0.013	-0.002	0.017
P01130	-0.129	-0.074	-0.092	-0.013	-0.029	-0.046	-0.115	-0.057	0.14	0.049	-0.089	0.141
Q5SX88	-0.054	0.163	-0.036	0.142	0.208	0.399	-0.059	0.24	0.63	0.206	0.111	0.246
O43157	-0.061	-0.014	-0.024	0.008	-0.121	-0.019	-0.066	-0.052	-0.169	-0.001	0.007	-0.01
B3KNN9	-0.042	0.016	0.099	-0.024	0.012	0.026	-0.01	-0.001	-0.047	-0.065	0.057	-0.01
Q02818	0.761	1.067	0.822	0.195	0.462	1.017	0.588	0.171	-0.084	0.062	-0.051	-0.116
D3DWM7	-0.02	0.035	0.011	-0.02	0.07	0.051	0.039	-0.02	0.334	0.074	0.217	0.05
Q9BTY2	-0.076	0.058	0.05	-0.061	0.008	0.07	-0.007	-0.032	-0.133	-0.03	0.014	-0.031
P51884	-0.05	0.033	0.062	0.032	-0.07	-0.011	0.049	0.014	-0.126	-0.065	0.061	0.017
C9JQ85	-0.003	0.058	-0.011	-0.022	-0.115	0.055	-0.005	-0.059	-0.174	-0.068	-0.081	-0.129
Q8NBP7	-0.07	0.009	-0.031	-0.032	-0.05	0.031	-0.055	-0.027	-0.033	-0.013	-0.214	0.001
P16930	-0.029	0.03	0.012	-0.024	0.016	0.004	0.008	0.05	0.177	-0.027	0.08	-0.001
P11217	0.808	0.018	0.007	0.155	0.597	0.157	0.369	0.115	0.723	0.538	0.388	0.404
P43121	-0.04	0.016	0.065	0.037	-0.001	0.017	0.019	0.015	-0.112	-0.038	0.06	-0.005
P19022	-0.033	0.024	0.013	-0.029	-0.147	0.053	0.024	-0.003	-0.014	0.028	-0.103	0.007
P35916	-0.018	0.013	0.035	-0.056	-0.007	0.023	0.014	0.022	-0.053	-0.063	0.013	-0.012
Q96IY4	-0.14	-0.012	0.06	-0.073	-0.234	-0.051	0.033	-0.084	-0.337	0.011	-0.033	-0.039
Q3LXA3	0.011	0.029	0.002	0.169	0.639	0.104	-0.052	0.167	1.537	0.062	-0.063	0.121
P23381	0.035	-0.008	0.03	0.082	0.015	0.026	0.017	0.1	0.079	0.011	-0.002	0.09
B7Z722	0.237	0.225	0.25	0.643	0.57	0.372	0.454	0.975	1.19	0.626	0.464	0.828
Q9UL12	0.06	-0.316	-0.076	NA	0.764	0.143	0.023	NA	1.649	0.003	0.05	NA
P55786	0.02	0.074	0.049	0.301	0.278	0.291	0.215	0.334	0.576	0.449	0.63	0.558
B4DPH5	-0.055	0.055	0.071	-0.051	-0.004	0.012	0.024	-0.044	-0.137	-0.049	0.051	-0.037
P23468-2	-0.072	0.033	-0.022	-0.036	-0.073	-0.006	-0.065	0.026	-0.145	-0.022	0.048	0.013
Q9H4A4	-0.037	0.058	0.007	0.02	0.159	0.082	0.02	0.012	0.431	0.053	0.028	0.023
Q16853	-0.06	-0.006	0.037	0.034	-0.046	0.023	-0.032	-0.048	-0.152	-0.049	0.007	-0.015
Q2NL81	-0.059	0.043	0.078	0.019	-0.01	0.074	0.076	0.095	-0.006	0.041	0.122	0.054
Q08380	-0.048	-0.005	-0.007	-0.09	-0.028	0.04	-0.062	-0.093	-0.12	0.005	-0.019	-0.01
B4E2L8	-0.115	0.175	0.151	-0.066	-0.018	0.179	0.127	0.017	-0.092	0.054	0.035	-0.03
O75874	-0.079	0.052	0.023	0.019	0.49	0.089	0.136	0.043	1.21	0.091	0.217	0.015
P02748	0.819	-0.856	-0.236	-1.093	0.363	-0.703	-1.01	-0.438	0.679	-0.756	-1.233	-0.427
P22413	-0.122	-0.106	-0.063	0.005	-0.082	0.027	-0.101	-0.022	-0.119	-0.078	-0.059	-0.047
B7Z754	-0.052	0.005	0.004	0.036	-0.063	0.018	0.013	0.009	-0.106	-0.035	0.098	0.02
Q4VC00	-0.052	0.006	0.004	0.029	-0.081	0.021	0.01	-0.039	-0.107	-0.035	0.098	0.013
Q68D73	-0.048	-0.032	0.017	-0.066	-0.035	-0.046	-0.037	-0.069	-0.061	-0.057	-0.003	-0.044
Q68CK4	-0.068	0.043	0.021	0.029	-0.067	-0.017	0.004	-0.011	-0.209	-0.058	0.031	0.06
B3KWM1	-0.041	0.067	0.055	0.022	-0.091	0.117	0.056	0.075	-0.037	0.097	0.133	0.072
B7Z7F2	-0.014	-0.005	0.008	-0.028	-0.059	0.012	-0.054	-0.023	-0.05	-0.055	-0.013	-0.056
P15169	-0.058	-0.019	0.095	-0.019	-0.124	-0.015	0.097	-0.021	-0.177	0.022	0.133	-0.017
B4E3B6	0.06	0.101	-0.032	0.245	0.586	0.308	0.442	0.319	1.077	0.553	0.76	0.536
P04066	-0.089	0.02	0.066	-0.004	0.012	0.046	0.003	-0.003	-0.107	-0.046	0.042	-0.023
P27797	-0.103	0.086	0.108	0.1	0.32	0.127	0.095	0.122	0.71	0.11	0.153	0.148
Q14112	0.173	0.109	0.139	0.154	0.13	0.085	0.06	0.096	-0.043	0.027	0.244	-0.187
P00533	-0.032	0.02	0.05	-0.048	0.047	0.019	-0.018	0.015	-0.066	-0.044	-0.013	0.011
Q99784	0.006	-0.041	0.083	-0.011	-0.108	-0.011	0.06	0.016	-0.079	0.022	0.049	0.008
B4DXF3	-0.056	0.048	0.097	0.225	-0.101	0.049	-0.059	0.067	-0.04	0.085	0.083	0.26
Q86UX7	-0.669	-0.144	0.438	0.433	-0.605	-0.237	-0.021	0.715	-0.146	0.08	-0.57	0.572
P02675	0.243	-0.704	-1.103	-1.172	0.273	-0.641	-0.402	-1.403	0.224	-0.73	-0.028	-1.573
Q15113	0.016	0.025	-0.022	-0.01	-0.159	0.05	0.001	0.029	-0.133	-0.014	-0.167	-0.031
P31150	-0.044	0.12	0.128	0.071	0.077	0.205	0.084	0.242	0.334	0.22	0.233	0.237
P40189	-0.065	-0.021	0.022	-0.081	-0.069	0.007	0.012	-0.013	-0.152	-0.047	0.036	-0.013
P39060	-0.108	-0.014	0.101	0.021	-0.16	0.019	0.089	-0.006	-0.302	-0.057	-0.002	-0.058
Q8WUJ3	-0.016	-0.133	-0.019	0.032	-0.068	-0.031	-0.107	0.009	-0.21	-0.003	0.006	-0.029
P52848	-0.026	0.023	-0.019	-0.024	-0.088	0.032	-0.044	0.008	-0.057	-0.021	-0.017	0.025
P04070	-0.103	0.046	0.045	0.044	-0.193	0.066	0.083	0.081	-0.192	0.012	-0.098	0.091
Q9NPH3	-0.031	0.028	0.009	0.006	-0.06	0.054	0.009	0.085	-0.095	-0.018	0.004	-0.011
P02144	0.641	1.232	0.371	0.933	2.247	1.97	2.276	1.275	1.487	0.867	1.987	1.68
A8K6A6	-0.02	0.029	0.069	0.028	-0.001	0.03	0.021	-0.002	-0.13	-0.031	0.085	-0.004
P02786	0.094	0.066	-0.049	-0.131	0.038	0.109	-0.016	-0.023	0.089	0.064	-0.147	-0.036
B2RBG3	-0.094	0.019	0.053	0.006	0.015	0.054	0	-0.015	-0.102	-0.06	0.041	-0.033
P05362	-0.052	0.01	0.025	-0.002	-0.038	0.025	-0.018	-0.026	-0.083	-0.046	0.044	-0.021
P02452	0.061	0.116	0.264	-0.019	0.149	0.161	0.285	0.042	0.027	-0.08	0.107	-0.044
Q5NKV8	-0.051	0.007	0.022	0.012	-0.038	0.004	-0.018	-0.017	-0.085	-0.046	0.043	-0.032
D3DTL2	0.453	0.219	-0.079	0.103	0.671	0.796	0.853	0.253	0.813	1.179	1.329	0.553
Q9Y2T3	-0.14	0.036	-0.026	-0.021	0.171	0.04	-0.05	0.104	0.676	0.017	-0.019	-0.032
A7XZE4	0.092	0.149	0.367	0.647	0.502	0.275	0.457	0.973	0.692	0.48	0.325	0.514
P07951-2	0.184	0.149	0.367	0.647	0.504	0.275	0.457	0.973	0.705	0.48	0.325	0.514
